review,study_label,year,sample_size,citations_per_year,citation_count,is_open_access,recalled_by_claude,recalled_by_gemini,recalled_by_gpt,recall_pattern,recalled_by_patient,recalled_by_clinician,recalled_by_researcher,role_recall_pattern,design_raw,design_category
CD000510,Bevilacqua 1996,1996,268,1.8,54,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Bevilacqua 1997,1997,93,0.52,15,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Dunn 1991,1991,122,3.63,127,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Dunn 2011,,432,,511,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Egberts 1993,1993,150,2.45,81,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Kattwinkel 1993,1993,1248,3.21,106,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Kendig 1991,1998,479,7.96,223,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Merritt 1991,1991,148,3.89,136,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,SUPPORT 2010,,1316,,1029,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD000510,Walti 1995,1995,256,2.0,62,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD001452,Alcaraz Sanz 1998,1999,103,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD001452,Eriksson 1999,1999,60,2.59,70,0,1,1,1,All three,1,1,1,All three,randomized factorial trial,parallel-group RCT (or unspecified RCT)
CD001452,Kvist 2002,2002,60,,,,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD001452,Larsson 1998,1998,97,4.57,128,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD001452,Ogawa 2005,2005,50,3.29,69,1,1,1,1,All three,1,1,1,All three,randomized factorial trial,parallel-group RCT (or unspecified RCT)
CD001452,Saththasivam 2009,2009,60,0.41,7,0,1,1,1,All three,1,1,1,All three,controlled comparative study,other / controlled comparative study
CD001452,Shah 1997,1997,27,3.31,96,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD001452,Shrestha 2012,2012,200,,,,1,1,1,All three,1,1,1,All three,controlled comparative study,other / controlled comparative study
CD005354,Abate 2009,2009,401,0.82,14,0,0,0,1,GPT only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,Aboulghar 2010,2010,84,0.75,12,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Andersen 2006,2006,731,15.8,316,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Antoine 2007,2006,151,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Arce 2014,2014,,14.58,175,1,1,0,0,Claude only,0,1,0,Clinician only,Cochrane-included study cluster,cluster-randomized
CD005354,Baker 2009,2009,152,1.94,33,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Balasch 2003,2003,60,2.78,64,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Barakhoeva 2019,2019,110,3.0,21,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Bergh 1997,1997,235,6.86,199,1,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Bosch 2008,2008,280,5.78,104,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Chapon 2021,2020,168,0.67,4,1,1,1,0,Claude+Gemini,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Cheon 2004,2004,254,1.0,22,0,0,0,1,GPT only,0,1,0,Clinician only,Cochrane-included study cluster,cluster-randomized
CD005354,Devroey 2012,2012,749,9.21,129,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD005354,Dickey 2002,2002,177,0.29,7,0,0,0,1,GPT only,1,0,1,Patient+Researcher,Cochrane-included study cluster,cluster-randomized
CD005354,Dickey 2003,2003,120,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD005354,Drakakis 2002,2002,70,,,,1,0,0,Claude only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD005354,EUCTR2021-001785-38-ES,,300,,,,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
