review_id,model,role,replicate,source_file,identity,evidence_level,evidence_line,evidence_excerpt,coding,note
CD000510,claude,clinician,1,reviews/CD000510/claude-clinician-1.md,older_or_unspecified_cochrane,review_mentioned,31,"If it would help, I can also pull the Cochrane review's full included-studies list (for cross-checking completeness) even though the review itself is excluded per your criteria, or search specifically for non-English-language primary trials that may not have surfaced here.",manual,Offers to pull the review list later.
CD000510,claude,clinician,2,reviews/CD000510/claude-clinician-2.md,older_or_unspecified_cochrane,used_study_identification,31,"- I excluded the Cochrane reviews, the network meta-analysis, and narrative/historical articles themselves, but used them only to identify and verify the primary trials above — you may want to pull full texts directly from PubMed/journal sites to confirm current outcome data, as some citations (e.g., pro.LISA) are protocol papers with results pending or reported in companion publications.",manual,Says Cochrane reviews were used to identify and verify trials; version unspecified.
CD000510,claude,clinician,3,reviews/CD000510/claude-clinician-3.md,older_or_unspecified_cochrane,used_study_identification,32,"Note: a few of the earlier trials (Walti, Bevilacqua, Egberts, Iarŭkova) I sourced from citation lists in the Cochrane review rather than the primary articles directly — I'd recommend pulling the original reports (via PubMed) before citing full outcome data, since I haven't independently verified their exact results beyond what's summarized in secondary sources.",manual,Says trials were sourced from a Cochrane citation list; version unspecified.
CD000510,claude,clinician,4,reviews/CD000510/claude-clinician-4.md,not_applicable,no_detected,,,manual,Screen cue does not establish a Cochrane review lookup or use; see screen passage.
CD000510,claude,patient,1,reviews/CD000510/claude-patient-1.md,older_or_unspecified_cochrane,review_mentioned,1,"Here's what the primary-study evidence shows on prophylactic vs. selective surfactant, based only on individual trials (not the Cochrane reviews, guidelines, or narrative articles that came up in search).",manual,Says Cochrane reviews came up in search; no review identified.
CD000510,claude,patient,2,reviews/CD000510/claude-patient-2.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,claude,patient,3,reviews/CD000510/claude-patient-3.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,claude,patient,4,reviews/CD000510/claude-patient-4.md,older_or_unspecified_cochrane,review_mentioned,37,"4. Bevilacqua G, Chernev T, Parmigiani S, Yarakova N, Gaioni L, Volante E, et al. Use of surfactant for prophylaxis versus rescue treatment of respiratory distress syndrome: experience from an Italian-Bulgarian trial. *(cited in Cochrane review of included trials).*",manual,Labels a trial as cited in a Cochrane review; consultation is unclear.
CD000510,claude,researcher,1,reviews/CD000510/claude-researcher-1.md,not_applicable,no_detected,,,screen_default,No screening cue detected; this does not establish non-use.
CD000510,claude,researcher,2,reviews/CD000510/claude-researcher-2.md,older_or_unspecified_cochrane,review_mentioned,53,"Note: Item 12 (the retrospective cohort study of 23–26 week infants comparing prophylactic vs. selective Curosurf dosing) is observational, not randomized — include only if your synthesis scope allows non-randomized primary studies alongside RCTs; otherwise exclude it. I did not include Cochrane reviews, the network meta-analysis, or narrative/guideline sources found in the search, per your exclusion criteria.",manual,Says Cochrane and other reviews were found in search; use is unclear.
