reason_category,review,study_label,display_label,example_detail
population,CD007654,Ryan 2020,SELECT (Ryan 2020),Mixed normotensive/hypertensive population; hypertensive subgroup results were insufficient.
population,CD009958,Yap 2022,TEAM-UP (Yap 2022),Six nursing-home participants had a pressure injury at baseline despite PI-free eligibility.
population,CD009958,Vanderwee 2007,Vanderwee 2007,Included participants with a pre-existing stage 1 pressure injury.
intervention,CD007912,Bennell 2014,Bennell 2014,Multimodal hip-osteoarthritis therapy did not isolate the effect of exercise.
intervention,CD005354,Boostanfar 2010,Boostanfar 2010,Corifollitropin alfa was outside the review's eligible intervention.
intervention,CD015264,Bjørke-Monsen 2011,Bjørke-Monsen 2011,Vitamin B12 was given by intramuscular injection—an ineligible route.
comparator,CD000510,Sandri 2010,CURPAP (Sandri 2010),Control received early surfactant after CPAP failure—not eligible selective surfactant.
comparator,CD015136,Green 2008,Green 2008,"Home BP monitoring, web communication and pharmacist care used an ineligible comparator."
comparator,CD007912,Bieler 2017,Bieler 2017,Compared Nordic walking with strength and home exercise; there was no eligible control.
outcome,CD015898,Paul 2002,Paul 2002,The infant transfusion-volume trial did not report an eligible review outcome.
outcome,CD015934,Schuck 2016,Schuck 2016,"NRT requests, 1-week abstinence and quit attempts were not eligible review outcomes."
study_design,CD015156,Rathleff 2020,Rathleff 2020,Prospective cohort study rather than a randomized trial.
study_design,CD015156,Perhamre 2011 (b),Perhamre 2011,Cohort study rather than a randomized trial.
study_design,CD001452,Logan 1999,Logan 1999,Newborn-screening venepuncture versus heel prick study was not randomized.
setting,CD013776,Grossmann 2007,Grossmann 2007,Bladder fluorescence cystoscopy was performed in an ineligible surveillance setting.
setting,CD015934,Peckham 2019,SCIMITAR+ 2019,Smoking-cessation participants came from primary care/community mental-health sites.
setting,CD013776,Daneshmand 2017,Daneshmand 2017,Blue-light cystoscopy was evaluated in surveillance rather than the eligible setting.
timing_or_follow_up,CD000510,Sandri 2010,CURPAP (Sandri 2010),Control received surfactant early after CPAP failure rather than selectively.
timing_or_follow_up,CD000510,Rojas 2009,Rojas 2009,Surfactant was given very early after respiratory-distress signs—not prophylactically.
timing_or_follow_up,CD007912,Villadsen 2014,Villadsen 2014,Hip-osteoarthritis exercise was delivered in an ineligible perioperative context.
unit_of_analysis,CD015186,Ventura-Abreu 2021,Ventura-Abreu 2021,Two-eye enrollment produced non-independent observations.
unit_of_analysis,CD015186,NCT03894631,NCT03894631,Within-person comparison assigned intervention and comparator to the same participant.
publication_or_trial_status,CD010461,Battista 2017,Battista 2017,The randomized trial report was retracted.
publication_or_trial_status,CD015934,Das 2017,Das 2017,Secondary analysis of data already reported by two included randomized trials.
publication_or_trial_status,CD015934,Prochaska 2009,Prochaska 2009,Protocol only; full results were represented by an included study.
insufficient_or_unavailable_data,CD007654,Ryan 2020,SELECT (Ryan 2020),Hypertensive-subgroup results were absent or insufficient.
insufficient_or_unavailable_data,CD007654,SCALE obesity and prediabetes 2014,SCALE 2014,Hypertensive-subgroup results were absent or insufficient.
insufficient_or_unavailable_data,CD007654,SCOUT 2010,SCOUT 2010,Hypertensive-subgroup results were absent or insufficient.
unspecified_eligibility,CD010461,Antinori 2008,Antinori 2008,IMSI-versus-ICSI trial; Cochrane did not specify which eligibility criterion failed.
unspecified_eligibility,CD010461,Setti 2012b,Setti 2012b,IMSI in advanced maternal age; Cochrane did not specify the failed criterion.
unspecified_eligibility,CD010461,Balaban 2011,Balaban 2011,High-magnification sperm selection; Cochrane did not specify the failed criterion.
