review,study_label,cochrane_exclusion_reason,reason_categories,response_study_mentions
CD000510,Iarŭkova 1999,"Design: retrospective study comparing the use of prophylactic curosurf (200 mg/kg) vs rescue curosurf treatment (200 mg/kg) if indicated. This study had, mistakenly, been included in the previous version of the review.",study_design,4
CD000510,Morley 2008,"Excluded from this review because the trial did not give prophylactic surfactant treatment to all infants in a high risk group, and the research team selected those infants who neither needed acute resuscitation or had no signs of respiratory distress. In the remaining infants, surfactant treatment was not considered as mandatory and followed local protocols.",population;intervention,3
CD000510,Rojas 2009,"Excluded from this review because the treatment group received surfactant as ""very early surfactant"" once the first RDS signs appeared, instead of prophylactic administration of surfactant.",intervention;timing_or_follow_up,10
CD000510,Sandri 2010,"Excluded because of the comparison: the control group received ""early surfactant"" soon after treatment failure on CPAP instead of selective administration of surfactant, according to the definitions of interventions used in this review.",comparator;timing_or_follow_up,28
CD001452,Correcher 2012,Design : not a randomized controlled trial,study_design,13
CD001452,Logan 1999,Design : not a randomized controlled trial,study_design,16
CD005354,Abyholm 2008,wrong intervention - dose-response trial of corifollitropin alfa,intervention,2
CD005354,Boostanfar 2010,wrong intervention - corifollitropin alfa,intervention,18
CD005354,Boostanfar 2015,wrong intervention - corifollitropin alfa,intervention,11
CD005354,Filicori 2003,wrong intervention - rFSH or HMG vs rFSH or HMG +hCG,intervention,1
CD005354,Hillensjo 2009,wrong intervention - corifollitropin vs rFSH,intervention,9
CD005354,Khair 2020,wrong study design - post-hoc analysis,study_design,4
CD005354,Melo 2010,wrong population - patients received donor oocytes,population,2
CD005354,Pacchiarotti 2007,wrong comparator - rFSH vs a combination of uFSH and rFSH,comparator,1
CD005354,Requena 2010,"wrong study design - not truly randomised, allocation by order of inclusion",study_design,1
CD005354,Tulppala 1999,wrong intervention - comparison of two rFSH preparations,intervention,1
CD005354,Westerguard 1996,wrong intervention - FSH-HP vs HMG,intervention,1
CD007654,Broom 2002,The study includes normotensive and hypertensive participants but reports no or insufficient results for the hypertensive subgroup.,population;insufficient_or_unavailable_data,4
CD007654,CAMELLIA-TIMI 2018,The study includes normotensive and hypertensive participants but reports no or insufficient results for the hypertensive subgroup.,population;insufficient_or_unavailable_data,8
