run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Taneja 2013 (North India; NCT00717730),Taneja 2013 (North India; NCT00717730),included,Taneja 2013,factorial RCT,0,All short- and long-term outcome reports are one trial cluster.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Strand 2020 (BeLive; NCT02272842),Strand 2020 (BeLive; NCT02272842),included,Strand 2020,RCT,0,"The protocol, primary report, and later outcome reports are one trial cluster."
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Bjørke-Monsen/Torsvik infant B12 studies,Bjørke-Monsen/Torsvik infant B12 studies,cochrane_excluded,Bjørke-Monsen 2011,intramuscular randomized trials,0,The excluded RIS groups the 2008 and 2011 reports and related registry records under this label; responses also cite the later Torsvik report.
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Torsvik 2015 low-birth-weight infant trial,Torsvik 2015 low-birth-weight infant trial,cochrane_excluded,Torsvik 2015,RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Hess 2019 Lao micronutrient-powder trial,Hess 2019 Lao micronutrient-powder trial,cochrane_excluded,Hess 2019,RCT,0,"Responses cite Hinnouho 2022, a later report from this trial program."
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Ndeezi 2011 Ugandan HIV micronutrient trial,Ndeezi 2011 Ugandan HIV micronutrient trial,outside_other,,multi-micronutrient RCT,0,
claude-clinician-1,claude,clinician,1,retrieval_bias/CD015264/claude-clinician-1.md,Sheng 2019 complementary-feeding trial,Sheng 2019 complementary-feeding trial,outside_other,,cluster-randomized feeding trial,0,
claude-clinician-2,claude,clinician,2,retrieval_bias/CD015264/claude-clinician-2.md,Strand 2020 (BeLive; NCT02272842),Strand 2020 (BeLive; NCT02272842),included,Strand 2020,RCT,0,"The protocol, primary report, and later outcome reports are one trial cluster."
claude-clinician-2,claude,clinician,2,retrieval_bias/CD015264/claude-clinician-2.md,Taneja 2013 (North India; NCT00717730),Taneja 2013 (North India; NCT00717730),included,Taneja 2013,factorial RCT,0,All short- and long-term outcome reports are one trial cluster.
claude-clinician-2,claude,clinician,2,retrieval_bias/CD015264/claude-clinician-2.md,Bjørke-Monsen/Torsvik infant B12 studies,Bjørke-Monsen/Torsvik infant B12 studies,cochrane_excluded,Bjørke-Monsen 2011,intramuscular randomized trials,0,The excluded RIS groups the 2008 and 2011 reports and related registry records under this label; responses also cite the later Torsvik report.
