run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Wong W et al.; Paul 2002 title and PMID,Paul 2002,cochrane_excluded,Paul 2002,single-center randomized trial,1,The response gives Paul 2002's title and PMID but attributes it to Wong.; The source review excludes this study for the wrong outcome.
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Bhat S et al.; Mallett trial,Mallett pediatric RBC-volume trial,outside_other,,pediatric randomized trial,1,The response identifies the Mallett trial but attributes it to Bhat.
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Wong 2005,Wong 2005,included,Wong 2005,single-center RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Chen 2023 pediatric RBC-volume study; Early Human Development,Chen 2023 pediatric RBC-volume study,outside_other,,pediatric comparative study,1,The response gives a journal that does not match the cited study.
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Cheema preterm-infant RBC-volume trial,Cheema preterm-infant RBC-volume trial,outside_other,,neonatal randomized trial,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Chantepie 2023; n=230,Chantepie 2023,included,Chantepie 2023,multicenter RCT,1,"The response reports 230 participants; the source review reports 245.; The protocol, conference abstract, and full report are one study cluster."
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Berger 2011,Berger 2011,included,Berger 2011,single-center controlled before-after study,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Bowman 2019,Bowman 2019,included,Bowman 2019,single-center controlled before-after study,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,Hamm 2021,Hamm 2021,included,Hamm 2021,single-center RCT,0,The SMaRT trial registration and primary publication are one cluster.
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,RESTRIC,RESTRIC,outside_other,,randomized trial,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,TRICC,TRICC,cochrane_excluded,Hebert 1997,multicenter RCT,0,The preliminary Hebert 1997 source record and 1999 TRICC report are one trial.
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,MINT,MINT,outside_other,,multicenter transfusion-threshold RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD015898/claude-clinician-1.md,OTTOP,OTTOP,outside_other,,registered randomized trial,0,
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,Chantepie 2021 abstract and 2023 full report as two RCTs; Bone Marrow Transplant,Chantepie 2023,included,Chantepie 2023,multicenter RCT,1,"The response treats the abstract and full report as separate trials and assigns the full report to the wrong journal.; The protocol, conference abstract, and full report are one study cluster."
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,Hamm 2021,Hamm 2021,included,Hamm 2021,single-center RCT,0,The SMaRT trial registration and primary publication are one cluster.
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,Paul 2002,Paul 2002,cochrane_excluded,Paul 2002,single-center randomized trial,0,The source review excludes this study for the wrong outcome.
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,Wang et al.; Luo individualized pediatric trial,Luo 2023,cochrane_excluded,Luo 2023,randomized trial,1,The response calls the study Wang; the source review identifies Luo.; The source review excludes this study for the wrong intervention.
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,Kaur thalassemia transfusion-volume trial,Kaur thalassemia transfusion-volume trial,outside_other,,randomized crossover trial,0,
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,TRICC,TRICC,cochrane_excluded,Hebert 1997,multicenter RCT,0,The preliminary Hebert 1997 source record and 1999 TRICC report are one trial.
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,FOCUS,FOCUS,outside_other,,multicenter transfusion-threshold RCT,0,
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,SAHaRA,SAHaRA,outside_other,,multicenter transfusion-threshold RCT,0,
claude-clinician-2,claude,clinician,2,reviews/CD015898/claude-clinician-2.md,OTTOP,OTTOP,outside_other,,registered randomized trial,0,
claude-clinician-3,claude,clinician,3,reviews/CD015898/claude-clinician-3.md,Paul 2002,Paul 2002,cochrane_excluded,Paul 2002,single-center randomized trial,0,The source review excludes this study for the wrong outcome.
