review,model,role,run_id,reported_citation,curator_note,search_queries,best_match_found,verdict,evidence_notes
CD009532,claude,researcher,claude-researcher-1,"Unspecified Australian donor-iron trial","Only an author-group lead was supplied, without a title or identifier.","Australian randomized controlled trial iron supplementation blood donors ferritin; Pasricha Bryant Salvin Australian iron blood donor trial","Postdonation iron replacement for maintaining iron stores in female whole blood donors in routine donor practice: results of two feasibility studies in Australia (Pasricha et al. 2017, Transfusion)",real,"Response text itself said: 'an Australian trial by Pasricha/Bryant/Salvin group -- these appeared only in reference lists, not as primary search hits' and explicitly flagged it as not fully verified. This is model-disclosed uncertainty, not confident fabrication, and a real matching paper exists."
CD009958,claude,clinician,claude-clinician-3,"Unspecified 30° versus 90° stroke-position trial","No authors, year, journal, or identifier were supplied.","Comparison of the Effectiveness of Lateral Position 30 Degrees and 90 Degrees stroke decubitus","Comparison of the Effectiveness Lateral Position 30 Degrees and 90 Degrees on Decubitus Events in Stroke Patients (Jurnal Keperawatan Komprehensif)",real,"Response gave the paper's exact title (stroke population, 30 vs 90 degree lateral position) but no author/year/journal, so curators could not confirm it. A real paper with this exact title exists."
CD012161,claude,clinician,claude-clinician-1,"**Rosskamp/other early lispro trials and:** Anderson JH et al./multicenter trials establishing lispro vs. RHI (referenced within later trials; original mealtime-lispro vs. RHI RCTs from the 1990s).","","Ratner RE lispro reduced severe hypoglycemia multicenter type 1 diabetes 1990s; Meta-Analysis of the Effect of Insulin Lispro on Severe Hypoglycemia authors","Reduction of postprandial hyperglycemia and frequency of hypoglycemia in IDDM patients on insulin-analog treatment. Multicenter Insulin Lispro Study Group (Anderson JH Jr et al. 1996, PMID 9000704); Meta-Analysis of the Effect of Insulin Lispro on Severe Hypoglycemia (Brunelle, Anderson JH, et al. 1998)",real,"Anderson JH is a genuine co-author of the real, original 1990s multicenter lispro-vs-regular-human-insulin trials. Vague self-reference to those already-real trials, not fabricated."
CD012161,claude,clinician,claude-clinician-1,"**Ratner RE et al.** Hypoglycemia with intensive insulin therapy: a comparison of insulin lispro and regular human insulin in patients with type 1 diabetes on MDI (multicenter RCT establishing reduced severe hypoglycemia with lispro).","","Ratner RE hypoglycemia insulin lispro regular human insulin type 1 diabetes multicenter randomized; ""Hypoglycemia with intensive insulin therapy"" Ratner lispro regular human insulin","No paper matching this author+title combination found. Ratner RE is a real diabetes researcher, but is known for a different trial (glargine vs. NPH hypoglycemia, PMID 10834423), not a lispro-vs-RHI trial. The real lispro-vs-RHI trials in this space are authored by Anderson JH et al. (see row above), not Ratner.",likely fabricated / misattributed,"Only entry of the 10 where no plausible real match could be found despite multiple targeted searches. Reads as a specific, confident citation (full title, claimed outcome) attributed to a real author name, but for a paper that does not appear to exist under that authorship -- closest explanation is confusion with the real Anderson JH-led lispro trials already cited separately in the same response."
CD013776,claude,researcher,claude-researcher-1,"Naito Japanese multicenter RCT","Named only in an offer to conduct an additional search.","Naito Japanese multicenter randomized trial photodynamic diagnosis blue light TURBT bladder cancer 5-ALA; Naito randomized controlled trial bladder cancer TURBT photodynamic diagnosis Japan","CROES multicentre randomised trial of narrow band imaging-assisted TURBT vs. conventional white-light TURBT (Naito S. et al.)",real (topic partial match),"Response only offered to search further for this ('...or search for additional trials such as the Naito et al. Japanese multicenter RCT'), a transparent hedge rather than an assertion. A real multicenter TURBT RCT led by a researcher named Naito exists, though it compares narrow-band imaging rather than blue-light/5-ALA specifically -- close but not an exact modality match."
CD015136,claude,patient,claude-patient-3,"Three-arm diabetes specialist nurse telecare trial","","three-arm randomized trial telecare diabetes specialist nurse peer supporter routine care poorly controlled type 2 diabetes","Telecare motivational interviewing for diabetes patient education and support: a randomised controlled trial based in primary care comparing nurse and peer supporter delivery (PMC1934921)",real,"Exact 3-arm design match (Diabetes Specialist Nurse vs. peer supporter vs. routine care)."
CD015136,claude,patient,claude-patient-4,"Australian rural-hospital virtual-pharmacy stepped-wedge trial","","Australian rural hospital virtual pharmacy stepped-wedge trial","A stepped wedge randomised controlled trial assessing the efficacy and patient acceptability of virtual clinical pharmacy in rural and remote Australian hospitals (PMC11552378 / PMC7197111)",real,"Response explicitly named this only to say it was excluded from the list ('I excluded studies that were inpatient/hospital-based, e.g. the Australian rural hospital virtual pharmacy stepped-wedge trial'). A real matching trial exists."
CD015136,claude,patient,claude-patient-4,"Swiss TBC-HTA trial","","Swiss TBC-HTA trial pharmacist telemedicine team-based care hypertension diabetes","Team-Based Care for improving Hypertension management (TBC-HTA), Switzerland (PMC5251291, NCT02511093)",real,"Response explicitly hedged this as an unexpanded lead ('a Swiss TBC-HTA trial; I can pull more of these if you want the list expanded'). A real matching trial exists."
CD015136,claude,researcher,claude-researcher-2,"Older-adult pharmacist home-televisit trial","","pharmacist-led home televisit cluster randomized trial medication reconciliation older adults","Effect of Medication Management at Home via Pharmacist-Led Home Televisits: Protocol for a Cluster Randomized Controlled Trial (PMC11840363, NCT04340570)",real,"Exact design match (2-site cluster RCT, pharmacist-led home televisits, medication reconciliation, older adults)."
CD015136,claude,researcher,claude-researcher-4,"Missouri telephonic asthma medication-review pilot","","community pharmacist telephonic medication review uncontrolled asthma pilot Missouri","Community Pharmacist Telephonic Medication Reviews with Uncontrolled Asthma Patients: A Pilot Study (Hartley & Stoner, Univ. of Missouri-Kansas City, PMC7838915)",real,"Exact match: pilot study, community pharmacist, telephonic medication review, uncontrolled asthma, Missouri-based."
CD000510,claude,researcher,claude-researcher-3,"**Osborn DA.** Study of prophylactic surfactant versus early selective surfactant using the ""click test"" to determine need for therapy for RDS. (2000)","","Osborn click test surfactant prophylactic early selective RDS 2000; Targeted Early Rescue Surfactant ventilated preterm infants click test","Targeted Early Rescue Surfactant in Ventilated Preterm Infants Using the Click Test (Osborn DA et al. 2000, Pediatrics 106:e30, DOI 10.1542/peds.106.3.e30)",real (comparator conflated),"The primary trial is real, but it compared click-test-directed targeted early rescue with usual clinical/radiographic early rescue. Its conclusion proposed a future comparison with prophylactic surfactant, so the response conflated that proposed comparator with the randomized comparison."
CD005354,claude,clinician,claude-clinician-3,"**[Pain-perception RCT]** Randomized IVF trial of recombinant FSH versus urinary FSH/LH: outcomes and pain perception. *Fertil Steril.* 2002.","The citation did not supply enough bibliographic information to verify it as a distinct study.","randomized IVF recombinant FSH urinary FSH LH pain perception Fertility and Sterility 2002; highly purified menotropin recombinant FSH randomized comparative trial 2002","Efficacy and safety of highly purified menotropin versus recombinant FSH in IVF/ICSI cycles: a randomized, comparative trial (European and Israeli Study Group 2002, PMID 12215327, DOI 10.1016/S0015-0282(02)03250-8)",real (underspecified),"A real 2002 Fertility and Sterility phase III randomized trial matches the interventions and recorded injection-site pain/adverse effects, but the response omitted the author group, title, volume, pages, and identifier."
CD005354,claude,patient,claude-patient-1,"*Recombinant FSH Versus Highly Purified Urinary FSH in Patients with Polycystic Ovary Syndrome Undergoing ICSI Cycles: A Prospective Randomized Study.* Bagcilar Medical Bulletin.","The journal title was given, but the author, year, volume, pages, and identifier were omitted.","Recombinant FSH highly purified urinary FSH PCOS ICSI prospective randomized Bagcilar Medical Bulletin","Recombinant FSH Versus Highly Purified Urinary FSH in Patients with Polycystic Ovary Syndrome Undergoing ICSI Cycles: A Prospective Randomized Study (Yiğit Çakıroğlu et al. 2022, Bagcilar Medical Bulletin 7:63-69, DOI 10.4274/bmb.galenos.2022.2021-05-057)",real,"Exact title and journal match; the missing bibliographic details resolve to a real 2022 prospective randomized study."
CD005354,claude,researcher,claude-researcher-3,"**Balasch J, et al. / unnamed group.** Recombinant FSH plus highly purified hMG versus recombinant FSH on ovarian response and clinical outcomes in long GnRH agonist protocol: a prospective, randomized, controlled trial. (verify full citation)","The response itself requested verification and did not provide a full citation.","Balasch recombinant FSH highly purified hMG long GnRH agonist randomized controlled trial ovarian response","Ovarian responses to recombinant FSH or HMG in normogonadotrophic women following pituitary desensitization by a depot GnRH agonist for assisted reproduction (Balasch et al. 2003, PMID 12930572, DOI 10.1016/S1472-6483(10)61726-9)",real (intervention wording conflated),"A real Balasch randomized trial used the stated long GnRH-agonist setting, but compared recombinant FSH with HMG rather than recombinant FSH plus HMG versus recombinant FSH."
CD005354,claude,researcher,claude-researcher-3,"**Author(s) unspecified.** Randomized IVF trial of recombinant FSH versus FSH/LH: outcomes and pain perception. *Fertil Steril.* 2002 (early online/print).","The authors and other identifying details were not supplied.","randomized IVF recombinant FSH FSH LH pain perception Fertility and Sterility 2002; highly purified menotropin recombinant FSH randomized comparative trial 2002","Efficacy and safety of highly purified menotropin versus recombinant FSH in IVF/ICSI cycles: a randomized, comparative trial (European and Israeli Study Group 2002, PMID 12215327, DOI 10.1016/S0015-0282(02)03250-8)",real (underspecified),"The real 2002 randomized trial matches the journal, interventions, and safety/pain context, but the response was too incomplete to identify it without targeted searching."
CD005354,claude,researcher,claude-researcher-4,"Sohrabvand F, et al. Comparison of FSH and hMG on ovarian stimulation outcome with a GnRH antagonist protocol in younger and advanced reproductive age women (2010 cited trial).","The author/design combination did not match a complete citation in the response.","Sohrabvand F FSH hMG GnRH antagonist younger advanced reproductive age 2010 trial; Sohrabvand highly purified urinary recombinant FSH PCOS","Comparison of highly purified urinary versus recombinant FSH: Effect on ART outcomes in PCOS (Sohrabvand et al. 2012, PMID 25242998, PMCID PMC4165966); advanced-age HP-hMG versus rFSH trials are separately authored",real studies (conflated citation),"Sohrabvand led a real urinary-FSH-versus-recombinant-FSH PCOS trial using a long GnRH-analogue protocol, not the stated hMG antagonist/advanced-age design. The response appears to combine that paper's author with features of a different real trial."
CD005354,claude,researcher,claude-researcher-4,"Recombinant FSH versus highly purified urinary FSH in patients with PCOS undergoing ICSI cycles: a prospective randomized study. *Bagcilar Med Bull*.","The citation omitted the authors, year, volume, pages, and identifier.","Recombinant FSH highly purified urinary FSH PCOS ICSI prospective randomized Bagcilar Medical Bulletin","Recombinant FSH Versus Highly Purified Urinary FSH in Patients with Polycystic Ovary Syndrome Undergoing ICSI Cycles: A Prospective Randomized Study (Yiğit Çakıroğlu et al. 2022, Bagcilar Medical Bulletin 7:63-69, DOI 10.4274/bmb.galenos.2022.2021-05-057)",real,"Exact title, population, comparison, and journal match a real 2022 prospective randomized study."
CD010051,claude,researcher,claude-researcher-3,"**[Cyclosporine 0.05% vs 0.09% head-to-head trial].** Multicenter, randomized, interventional, double-masked study comparing cyclosporine 0.05% vs 0.09% in dry eye disease (n=450), referenced in the 2025 Graefe's Archive post-hoc analysis — original registration/report should be located and confirmed directly (title/authors not fully resolved in search; flagging for verification).","The design was specific, but the response did not identify the primary report and linked it to a later post-hoc analysis.","cyclosporine 0.05 0.09 head to head randomized double masked dry eye 450; Graefe post hoc cyclosporine 2025","Safety and efficacy of cyclosporine (0.05% versus 0.09%) in dry eye disease. Is it the strength of the drug that matters or is it the vehicle? (Rajpoot et al. 2022, DOI 10.3126/nepjoph.v14i2.38928)",real (source cross-reference conflated),"The n=450 multicenter randomized double-masked head-to-head study is real. The cited Graefe's Archive post-hoc analysis instead pooled OTX-101-versus-vehicle trials, so the response conflated the primary trial with an unrelated later source."
CD015156,claude,clinician,claude-clinician-2,"Bourke orthotics trial","The shorthand supplied no title, year, journal, or design details.","Bourke orthotics trial calcaneal apophysitis heel lifts children; custom foot orthoses versus heel lifts trial","Effectiveness of Custom-Made Foot Orthoses vs. Heel-Lifts in Children with Calcaneal Apophysitis: A CONSORT-Compliant Randomized Trial (Alfaro-Santafé et al. 2021, PMCID PMC8621014, DOI 10.3390/children8110963)",real study (author misattributed),"The intended orthoses-versus-heel-lifts trial is real, but it was authored by Alfaro-Santafé et al. Jaryd Bourke authored a later heel-lift systematic review rather than this primary trial."
CD015156,claude,patient,claude-patient-4,"Bourke et al. custom orthotics versus heel lifts","The named author did not match the primary trial citation.","Bourke custom orthotics heel lifts randomized trial children calcaneal apophysitis; Alfaro Santafe orthoses heel lifts","Effectiveness of Custom-Made Foot Orthoses vs. Heel-Lifts in Children with Calcaneal Apophysitis: A CONSORT-Compliant Randomized Trial (Alfaro-Santafé et al. 2021, PMCID PMC8621014, DOI 10.3390/children8110963)",real study (author misattributed),"The comparison maps directly to a real randomized trial, but the trial was authored by Alfaro-Santafé et al. Bourke is associated with a later heel-lift review, not this study."
CD015934,claude,clinician,claude-clinician-1,"Hall depressed-outpatient cessation trial","The shorthand supplied no title, year, journal, or identifier.","Hall depressed outpatient smoking cessation randomized trial mental health","Treatment for cigarette smoking among depressed mental health outpatients: a randomized clinical trial (Hall et al. 2006, PMID 17008577, PMCID PMC1586139, DOI 10.2105/AJPH.2005.080382)",real,"Exact author, population, smoking-cessation topic, and randomized design match a real 2006 trial."
