review_id,model,role,replicate,source_file,line,cue,excerpt
CD000510,claude,clinician,1,reviews/CD000510/claude-clinician-1.md,31,cochrane_or_target_id,"If it would help, I can also pull the Cochrane review's full included-studies list (for cross-checking completeness) even though the review itself is excluded per your criteria, or search specifically for non-English-language primary trials that may not have surfaced here."
CD000510,claude,clinician,2,reviews/CD000510/claude-clinician-2.md,6,cochrane_or_target_id,"These trials generally compared prophylactic surfactant (given at or shortly after birth, before RDS is clinically evident) to rescue/selective treatment (given once RDS signs appear), in infants who were routinely intubated and ventilated as the prevailing standard of care. As summarized in the Cochrane review of this era, the majority of these studies found an initial improvement in respiratory status and a decrease in the incidence of RDS with prophylactic surfactant, and in animal models, prophylactic surfactant led to more homogeneous distribution and less lung damage than rescue treatment. Individual trials from this period include Merritt 1986, Kendig 1991, Dunn 1991, Egberts 1993, Kattwinkel 1993, Walti 1995, and the Bevilacqua trials (1993, 1996), among others noted as not routinely placing control infants on CPAP (i.e., true prophylaxis vs. true rescue in intubated infants) — Dunn 1991, Kendig 1991, Merritt 1991, Egberts 1993, Kattwinkel 1993, Walti 1995, Bevilacqua 1996, Bevilacqua 1997, and Iarŭkova 1999."
CD000510,claude,clinician,2,reviews/CD000510/claude-clinician-2.md,31,cochrane_or_target_id,"- I excluded the Cochrane reviews, the network meta-analysis, and narrative/historical articles themselves, but used them only to identify and verify the primary trials above — you may want to pull full texts directly from PubMed/journal sites to confirm current outcome data, as some citations (e.g., pro.LISA) are protocol papers with results pending or reported in companion publications."
CD000510,claude,clinician,3,reviews/CD000510/claude-clinician-3.md,25,cochrane_or_target_id,"9. Iarŭkova N, et al. **[Trial of prophylactic vs. rescue surfactant].** 1999 (Bulgarian trial, cited in Cochrane review as Iarŭkova 1999)."
CD000510,claude,clinician,3,reviews/CD000510/claude-clinician-3.md,32,cochrane_or_target_id,"Note: a few of the earlier trials (Walti, Bevilacqua, Egberts, Iarŭkova) I sourced from citation lists in the Cochrane review rather than the primary articles directly — I'd recommend pulling the original reports (via PubMed) before citing full outcome data, since I haven't independently verified their exact results beyond what's summarized in secondary sources."
CD000510,claude,clinician,4,reviews/CD000510/claude-clinician-4.md,1,review_source_phrase,"Here's a synthesis based on primary trials (not reviews), followed by the full list you requested."
CD000510,claude,patient,1,reviews/CD000510/claude-patient-1.md,1,cochrane_or_target_id,"Here's what the primary-study evidence shows on prophylactic vs. selective surfactant, based only on individual trials (not the Cochrane reviews, guidelines, or narrative articles that came up in search)."
CD000510,claude,patient,4,reviews/CD000510/claude-patient-4.md,1,review_source_phrase,"I'll research primary studies comparing prophylactic versus selective (rescue) surfactant administration in preterm infants at risk for respiratory distress syndrome (RDS).Here's what the primary-study literature shows on prophylactic vs. selective (rescue) surfactant for preterm infants at risk of RDS, based on individual randomized controlled trials (not reviews/meta-analyses)."
CD000510,claude,patient,4,reviews/CD000510/claude-patient-4.md,37,cochrane_or_target_id,"4. Bevilacqua G, Chernev T, Parmigiani S, Yarakova N, Gaioni L, Volante E, et al. Use of surfactant for prophylaxis versus rescue treatment of respiratory distress syndrome: experience from an Italian-Bulgarian trial. *(cited in Cochrane review of included trials).*"
CD000510,claude,patient,4,reviews/CD000510/claude-patient-4.md,38,cochrane_or_target_id,5. Egberts J. (Multicenter European trial comparing prophylactic vs. rescue surfactant — cited among Cochrane-included primary trials).
