reason_category_combination,unique_excluded_studies,response_study_mentions
study_design,34,208
intervention,23,136
comparator,21,108
population;insufficient_or_unavailable_data,12,98
population,10,97
intervention;comparator,6,15
publication_or_trial_status,5,18
setting,5,21
timing_or_follow_up,5,13
unspecified_eligibility,5,46
outcome,2,22
population;intervention;timing_or_follow_up,2,2
study_design;publication_or_trial_status,2,3
unit_of_analysis,2,16
comparator;timing_or_follow_up,1,28
insufficient_or_unavailable_data,1,2
intervention;insufficient_or_unavailable_data,1,2
intervention;timing_or_follow_up,1,10
population;intervention,1,3
publication_or_trial_status;insufficient_or_unavailable_data,1,1
setting;timing_or_follow_up,1,2
study_design;timing_or_follow_up,1,5
