review,model,role,scope,n_replicates,n_pairs,mean_jaccard,stdev_jaccard,mean_set_size
CD000510,claude,patient,all_candidates,4,6,0.499,0.05,10
CD000510,claude,clinician,all_candidates,4,6,0.445,0.093,13
CD000510,claude,researcher,all_candidates,4,6,0.549,0.097,12.75
CD000510,gemini,patient,all_candidates,4,6,0.45,0.122,3
CD000510,gemini,clinician,all_candidates,4,6,0.397,0.313,3.5
CD000510,gemini,researcher,all_candidates,4,6,0.28,0.105,3.5
CD000510,gpt,patient,all_candidates,4,6,0.741,0.077,11.75
CD000510,gpt,clinician,all_candidates,4,6,0.751,0.071,14
CD000510,gpt,researcher,all_candidates,4,6,0.773,0.04,16.25
CD000510,claude,patient,included_only,4,6,0.593,0.07,6.75
CD000510,claude,clinician,included_only,4,6,0.583,0.179,7.25
CD000510,claude,researcher,included_only,4,6,0.758,0.15,8.5
CD000510,gemini,patient,included_only,4,6,0.528,0.245,1.75
CD000510,gemini,clinician,included_only,4,6,0.556,0.287,2.5
CD000510,gemini,researcher,included_only,4,6,0.472,0.282,2
CD000510,gpt,patient,included_only,4,6,0.889,0.122,8.5
CD000510,gpt,clinician,included_only,4,6,1.0,0.0,9
CD000510,gpt,researcher,included_only,4,6,0.95,0.055,9.25
CD001452,claude,patient,all_candidates,4,6,0.571,0.192,5.75
CD001452,claude,clinician,all_candidates,4,6,0.651,0.124,5.75
CD001452,claude,researcher,all_candidates,4,6,0.694,0.149,7.25
CD001452,gemini,patient,all_candidates,4,6,0.461,0.221,3
CD001452,gemini,clinician,all_candidates,4,6,0.361,0.145,3.25
CD001452,gemini,researcher,all_candidates,4,6,0.511,0.18,3
CD001452,gpt,patient,all_candidates,4,6,0.944,0.061,8.25
CD001452,gpt,clinician,all_candidates,4,6,0.926,0.057,8.5
CD001452,gpt,researcher,all_candidates,4,6,0.88,0.075,8.75
CD001452,claude,patient,included_only,4,6,0.689,0.156,4.5
CD001452,claude,clinician,included_only,4,6,0.653,0.11,4.25
CD001452,claude,researcher,included_only,4,6,0.754,0.168,5.5
CD001452,gemini,patient,included_only,4,6,0.556,0.287,2.5
CD001452,gemini,clinician,included_only,4,6,0.414,0.183,3
CD001452,gemini,researcher,included_only,4,6,0.597,0.25,2.75
CD001452,gpt,patient,included_only,4,6,1.0,0.0,7
CD001452,gpt,clinician,included_only,4,6,1.0,0.0,7
CD001452,gpt,researcher,included_only,4,6,1.0,0.0,7
CD005354,claude,patient,all_candidates,4,6,0.373,0.1,14
CD005354,claude,clinician,all_candidates,4,6,0.17,0.063,14
CD005354,claude,researcher,all_candidates,4,6,0.17,0.064,19.75
CD005354,gemini,patient,all_candidates,4,6,0.124,0.063,3.75
CD005354,gemini,clinician,all_candidates,4,6,0.372,0.176,3.5
CD005354,gemini,researcher,all_candidates,4,6,0.24,0.161,5
CD005354,gpt,patient,all_candidates,4,6,0.505,0.093,15.75
CD005354,gpt,clinician,all_candidates,4,6,0.479,0.133,21.75
CD005354,gpt,researcher,all_candidates,4,6,0.413,0.094,24.5
CD005354,claude,patient,included_only,4,6,0.52,0.195,6.75
CD005354,claude,clinician,included_only,4,6,0.218,0.15,7
CD005354,claude,researcher,included_only,4,6,0.185,0.113,6.25
CD005354,gemini,patient,included_only,4,6,0.222,0.195,2
CD005354,gemini,clinician,included_only,4,6,0.542,0.287,2.25
CD005354,gemini,researcher,included_only,4,6,0.211,0.275,2.75
CD005354,gpt,patient,included_only,4,6,0.705,0.087,10.5
CD005354,gpt,clinician,included_only,4,6,0.596,0.137,15.25
CD005354,gpt,researcher,included_only,4,6,0.544,0.152,19
CD007654,claude,patient,all_candidates,4,6,0.431,0.094,7.25
CD007654,claude,clinician,all_candidates,4,6,0.527,0.106,9.75
CD007654,claude,researcher,all_candidates,4,6,0.255,0.043,11
CD007654,gemini,patient,all_candidates,4,6,0.833,0.183,2.75
CD007654,gemini,clinician,all_candidates,4,6,1.0,0.0,3
CD007654,gemini,researcher,all_candidates,4,6,0.875,0.137,3.25
CD007654,gpt,patient,all_candidates,4,6,0.705,0.078,11.75
CD007654,gpt,clinician,all_candidates,4,6,0.555,0.065,14
CD007654,gpt,researcher,all_candidates,4,6,0.46,0.082,18.25
CD007654,claude,patient,included_only,4,6,0.75,0.274,2.5
CD007654,claude,clinician,included_only,4,6,0.789,0.122,4.75
CD007654,claude,researcher,included_only,4,6,0.439,0.203,3.25
CD007654,gemini,patient,included_only,4,6,0.75,0.274,1.75
CD007654,gemini,clinician,included_only,4,6,1.0,0.0,2
CD007654,gemini,researcher,included_only,4,6,1.0,0.0,2
CD007654,gpt,patient,included_only,4,6,0.9,0.11,4.25
CD007654,gpt,clinician,included_only,4,6,0.717,0.183,4.25
CD007654,gpt,researcher,included_only,4,6,0.536,0.098,5.25
CD007912,claude,patient,all_candidates,4,6,0.368,0.063,8.75
CD007912,claude,clinician,all_candidates,4,6,0.336,0.171,7.5
CD007912,claude,researcher,all_candidates,4,6,0.38,0.099,13.25
CD007912,gemini,patient,all_candidates,4,6,0.272,0.189,3.75
CD007912,gemini,clinician,all_candidates,4,6,0.317,0.107,3.5
CD007912,gemini,researcher,all_candidates,4,6,0.283,0.166,3.5
CD007912,gpt,patient,all_candidates,4,6,0.548,0.108,13.25
CD007912,gpt,clinician,all_candidates,4,6,0.589,0.083,14.25
CD007912,gpt,researcher,all_candidates,4,6,0.725,0.019,23
CD007912,claude,patient,included_only,4,6,0.47,0.181,5.25
CD007912,claude,clinician,included_only,4,6,0.374,0.169,5.5
CD007912,claude,researcher,included_only,4,6,0.455,0.168,8
CD007912,gemini,patient,included_only,4,6,0.339,0.213,2.75
CD007912,gemini,clinician,included_only,4,6,0.222,0.195,2
CD007912,gemini,researcher,included_only,4,6,0.306,0.215,2.25
CD007912,gpt,patient,included_only,4,6,0.67,0.117,9.25
CD007912,gpt,clinician,included_only,4,6,0.708,0.117,10
CD007912,gpt,researcher,included_only,4,6,0.895,0.071,13.25
CD009532,claude,patient,all_candidates,4,6,0.597,0.257,7.25
CD009532,claude,clinician,all_candidates,4,6,0.417,0.105,9.25
CD009532,claude,researcher,all_candidates,4,6,0.588,0.041,9
CD009532,gemini,patient,all_candidates,4,6,0.464,0.2,2.75
CD009532,gemini,clinician,all_candidates,4,6,0.45,0.055,3.25
CD009532,gemini,researcher,all_candidates,4,6,0.42,0.095,3.75
CD009532,gpt,patient,all_candidates,4,6,0.746,0.038,11.5
CD009532,gpt,clinician,all_candidates,4,6,0.62,0.077,12.25
CD009532,gpt,researcher,all_candidates,4,6,0.586,0.07,15.75
CD009532,claude,patient,included_only,4,6,0.618,0.303,5.75
CD009532,claude,clinician,included_only,4,6,0.485,0.167,5.75
CD009532,claude,researcher,included_only,4,6,0.821,0.105,5.75
CD009532,gemini,patient,included_only,4,6,0.464,0.2,2.75
CD009532,gemini,clinician,included_only,4,6,0.622,0.213,2.75
CD009532,gemini,researcher,included_only,4,6,0.525,0.158,3.25
CD009532,gpt,patient,included_only,4,6,0.77,0.075,8.25
CD009532,gpt,clinician,included_only,4,6,0.609,0.057,8
CD009532,gpt,researcher,included_only,4,6,0.659,0.078,11.75
CD009958,claude,patient,all_candidates,4,6,0.769,0.094,7.5
CD009958,claude,clinician,all_candidates,4,6,0.803,0.087,7.5
CD009958,claude,researcher,all_candidates,4,6,0.681,0.127,9.75
CD009958,gemini,patient,all_candidates,4,6,0.2,0.245,3.75
CD009958,gemini,clinician,all_candidates,4,6,0.322,0.124,3.75
CD009958,gemini,researcher,all_candidates,4,6,0.6,0.11,4.25
CD009958,gpt,patient,all_candidates,4,6,0.617,0.209,12.5
CD009958,gpt,clinician,all_candidates,4,6,0.616,0.152,12.5
CD009958,gpt,researcher,all_candidates,4,6,0.699,0.084,15.25
CD009958,claude,patient,included_only,4,6,0.822,0.107,5
CD009958,claude,clinician,included_only,4,6,0.867,0.103,4.5
CD009958,claude,researcher,included_only,4,6,0.72,0.165,6.5
CD009958,gemini,patient,included_only,4,6,0.25,0.316,2.5
CD009958,gemini,clinician,included_only,4,6,0.5,0.258,2.5
CD009958,gemini,researcher,included_only,4,6,0.833,0.129,3.5
CD009958,gpt,patient,included_only,4,6,0.789,0.083,7.75
CD009958,gpt,clinician,included_only,4,6,0.73,0.166,7.5
CD009958,gpt,researcher,included_only,4,6,1.0,0.0,9
CD010051,claude,patient,all_candidates,4,6,0.341,0.083,13.5
CD010051,claude,clinician,all_candidates,4,6,0.339,0.068,15.5
