review,study_label,cochrane_year,resolved_pmids,resolution_methods,matched_pmid_count,citation_count,citation_count_pmid,is_open_access,citations_per_year
CD000510,Bevilacqua 1996,1996,9120744,ris_explicit_pmid,1,54,9120744,0,1.8
CD000510,Bevilacqua 1997,1997,10021717,ris_explicit_pmid,1,15,10021717,0,0.52
CD000510,Dunn 1991,1991,2000278,ris_explicit_pmid,1,127,2000278,0,3.63
CD000510,Dunn 2011,,22025591,ris_explicit_pmid,1,511,22025591,0,
CD000510,Egberts 1993,1993,8233735,ris_explicit_pmid,1,81,8233735,0,2.45
CD000510,Kattwinkel 1993,1993,8516091,ris_explicit_pmid,1,106,8516091,0,3.21
CD000510,Kendig 1991,1998,9565444;2000109,ris_explicit_pmid,2,223,2000109,1,7.96
CD000510,Merritt 1991,1991,2007937;8419599,ris_explicit_pmid,2,136,2007937,0,3.89
CD000510,SUPPORT 2010,,20472939;24725582;23268664,ris_explicit_pmid,3,1029,20472939,1,
CD000510,Walti 1995,1995,7488817,ris_explicit_pmid,1,62,7488817,0,2.0
CD001452,Alcaraz Sanz 1998,1999,,,0,,,,
CD001452,Eriksson 1999,1999,10463785,ris_explicit_pmid,1,70,10463785,0,2.59
CD001452,Kvist 2002,2002,,,0,,,,
CD001452,Larsson 1998,1998,9565419;9722789,ris_explicit_pmid,2,128,9565419,0,4.57
CD001452,Ogawa 2005,2005,15871991,ris_explicit_pmid,1,69,15871991,1,3.29
CD001452,Saththasivam 2009,2009,19907892,ris_explicit_pmid,1,7,19907892,0,0.41
CD001452,Shah 1997,1997,9377140,ris_explicit_pmid,1,96,9377140,1,3.31
CD001452,Shrestha 2012,2012,,,0,,,,
CD005354,Abate 2009,2009,19572228,ris_citation_search,1,14,19572228,0,0.82
CD005354,Aboulghar 2010,2010,20188364,ris_doi_search,1,12,20188364,1,0.75
CD005354,Andersen 2006,2006,16873892;17640944,ris_citation_search,2,316,16873892,1,15.8
CD005354,Antoine 2007,2006,,,0,,,,
CD005354,Arce 2014,2014,25256937,ris_doi_search,1,175,25256937,1,14.58
