run_id,model,role_id,replicate,source_file,reported_citation,canonical_candidate,ground_truth_status,cochrane_study_label,design,identity_issue,notes
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Margolis 2013 (HyperLink),Margolis 2013 (HyperLink),included,Margolis 2013,cluster RCT,0,Long-term and process reports are grouped with the original HyperLink trial.
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Li 2022 hypertension telemedicine pilot,Li 2022 hypertension telemedicine pilot,outside_observational,,prospective nonrandomized cohort,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Gerber 2023 diabetes mHealth trial,Gerber 2023 diabetes mHealth trial,outside_other,,multicomponent RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Butt 2016 diabetes intervention,Butt 2016 diabetes intervention,outside_other,,predominantly face-to-face RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Seamon 2021 rural diabetes telemedicine program,Seamon 2021 rural diabetes telemedicine program,outside_observational,,program evaluation,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Nuttall 2024 remote-pharmacist ACO cohort,Nuttall 2024 remote-pharmacist ACO cohort,outside_observational,,retrospective comparative cohort,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Saudi warfarin telepharmacy cohort,Saudi warfarin telepharmacy cohort,outside_observational,,retrospective cohort,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Zhu 2021 internet-based warfarin trial,Zhu 2021 internet-based warfarin trial,outside_other,,multicenter RCT,0,
claude-clinician-1,claude,clinician,1,reviews/CD015136/claude-clinician-1.md,Qian 2025 (Alfalfa app),Qian 2025 (Alfalfa app),cochrane_awaiting,Qian 2025,RCT,0,
claude-clinician-2,claude,clinician,2,reviews/CD015136/claude-clinician-2.md,Margolis 2013 (HyperLink),Margolis 2013 (HyperLink),included,Margolis 2013,cluster RCT,0,Long-term and process reports are grouped with the original HyperLink trial.
